위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI01000000AP5H9Q,동리식당,129.2090896,35.8369394,47130,3;22;6,2.0,5.0
POI01000000BXTK5M,비발디파크컨트리클럽,,,42720,,,3.7435897435897436
POI010000006SOKHJ,태화강전망대,129.2938967,35.5451037,31140,6;2;4,2.0,4.666666666666667
POI01000000EBRYW6,중문색달해수욕장,126.4114987,33.24503815,47230,,,5.0
POI010000006DLHTA,홈플러스,129.1682996,37.4464129,42230,1;6;23,2.0,3.3333333333333335
POI010000006S5DQ2,영덕어촌체험관,,,47770,22;6;3,1.0,4.333333333333333
POI0100000076CL4A,아르반호텔BNK부산은행서면롯데1번가지점,,,26230,9;23;6,2.0,5.0
POI010000006UH54M,경화빌딩,,,26230,21;7;23,2.0,4.0
POI010000006W8KI8,해비치호텔앤리조트,126.8446725,33.32144142,48170,9;3;4,2.0,4.166666666666666
POI0100000075R2UV,장호1리어촌계,129.3172398,37.2862149,42230,11;25;24,5.0,3.0
POI0100000075TV40,다락캡슐게스트하우스,128.9184345,37.794409,42170,25;22;5,2.0,5.0
POI010000009IY32Q,고래불해수욕장,129.411597,36.5998363,47770,,,4.666666666666667
POI01000000BZ1N4Y,라온더마파크,126.2432576,33.35432841,26170,21;24;1,1.0,5.0
POI010000006B2IXU,신성암,,,42760,,,5.0
POI01000000BYO2RM,차문화센터,,,48850,3;22;1,2.0,4.0
POI010000006VR5TM,프린스모텔,128.333689,34.964316,48820,3;24;21,2.0,5.0
POI01000000B543M5,횡성(강릉방향)휴게소,128.1339886,37.46286726,42730,,,3.0
POI01000000C84OV3,더스위트하버,126.8430045,36.97615934,11710,4;22;26,1.0,2.0
POI01000000BZ2FUH,거창수승대,127.8321851,35.76000685,48880,3;9;8,2.0,5.0
POI010000007ULGQO,서울플라워,129.2141507,35.847728,47130,3;23;22,3.0,2.3333333333333335
POI010000008MLXW4,아시안파크,128.6164685,38.13713,42830,23;22;24,4.0,3.888888888888889
POI010000006BF13W,이(李)가집,,,42830,28;22;21,2.0,2.0
POI0100000078LTJ8,제주평화렌트카,126.5056084,33.50710021,47130,,,3.0
POI010000006T9EEW,모텔아나벨리,129.1564407,35.15988171,26350,2;4;22,2.0,2.6666666666666665
POI01000000BXPPYG,강문해수욕장,128.9191753,37.79482074,42810,5;2;23,2.0,5.0
POI01000000BYKQDS,풍수원성당,,,42730,3;13;25,1.0,5.0
POI0100000078HFJQ,성보전,127.6498434,35.23284435,48850,3;22;11,2.0,3.6666666666666665
POI010000006NOHSM,롯데마트,126.6189919,37.47523758,41500,,,3.6666666666666665
POI01000000E16MJM,여주휴게소인천방향#2,127.5699484,37.2397354,41670,3;23;12,4.0,3.3333333333333335
POI010000006CTLXP,김유정역,,,42110,2;5;21,2.0,3.0
POI010000006B7HUV,진부탁주양조장,,,42760,8;28;27,2.0,5.0
POI01000000D07WJV,황남금고,129.2109006,35.8359307,47130,11;1;3,1.0,5.0
POI0100000075Y4DN,강릉아이스아레나,128.8991923,37.7775373,42150,6;24;1,2.0,4.0
POI01000000CASEG4,오아시스,,,47130,27;1;3,2.0,4.333333333333333
POI010000006B3DIB,영정빌딩,,,42150,22;26;6,2.0,4.666666666666666
POI010000006YMEMM,온천모텔사우나,,,48250,3;22;1,2.0,4.0
POI010000006UP7RJ,덕인한의원,129.0197222,35.1027778,26140,23;1;7,3.0,3.3333333333333335
POI0100000073IWN7,선녀동자,129.2094741,35.8360172,47130,2;23;6,4.0,5.0
POI01000000E8720R,충혼묘지,126.5422209,33.37666556,48123,6;22;24,2.0,4.0
POI010000006BSV11,아이프라자,127.721978,34.73305619,44800,4;11;23,1.0,4.333333333333333
POI01000000AMBABO,광주휴게소원주방향,127.4360903,37.3785168,42770,,,5.0
POI010000006YT1ZT,느티나무학원,,,48170,9;2;3,2.0,1.0
POI0100000075VFO6,대원마트,127.2871263,36.48184789,42820,28;10;24,2.0,3.666666666666667
POI010000006UP4LA,지앤비호텔,,,26110,,,2.6666666666666665
POI01000000C3AXFX,라인2차빌라,126.3702399,33.47706737,42190,24;22;21,2.0,5.0
POI010000006B7T4H,루시하우스,128.6804994,37.64577362,42760,21;27;2,2.0,5.0
POI01000000EADJ2I,축협,129.12423,35.56291,31710,2;3;23,3.0,3.0
POI01000000AKZEVY,전주역,127.1618034,35.84985312,42760,,,4.666666666666667
POI010000006VSUAT,하모니리조트,,,42150,9;1;22,1.0,5.0
POI01000000BS42X2,몽테르모텔,127.3158298,37.53281279,47850,22;11;2,1.0,5.0
POI01000000B51GNG,강릉서부시장,,,42150,22;24;3,3.0,4.333333333333333
POI01000000BXSPM7,원주강원감영,,,42130,,,4.0
POI01000000BXS1MJ,속초엑스포월드,,,42210,21;22;9,1.0,5.0
POI01000000BW6Q54,SK네트웍스엔크린셀프주유소,,,41150,22;6;1,1.0,5.0
POI01000000BZ55N3,안동하회마을,,,47170,9;6;3,2.0,2.3333333333333335
POI010000006TOSP0,밀레니엄프라자,,,26500,2;11;4,2.0,4.666666666666667
POI01000000C3C6PI,비치하우스,,,42210,1;22;21,2.0,4.333333333333333
POI01000000B2N264,대명리조트,126.4702675,35.63161947,42130,3;12;13,1.0,4.0
POI01000000B5IVAZ,영종역사문화회관,126.5775609,37.49047503,26140,25;2;13,2.0,4.0
POI010000006UH5UC,쥬디스태화신관,,,26230,4;1;22,2.0,3.3333333333333335
POI01000000C4OJ3M,해피홀릭하우스,126.8546689,37.4928143,42820,13;23;26,6.0,5.0
POI01000000BZB3EY,신경주역,129.1389983,35.79837547,47130,3;1;9,1.0,4.333333333333334
POI01000000BFXLOS,난지한강공원잔디마당,126.8756078,37.56703991,42150,,,5.0
POI01000000BYZAV9,올림픽기념공원,129.1370368,35.16671033,26350,6;23;22,2.0,4.0
POI01000000B6F1WP,융릉건릉역사문화관,126.9909693,37.2117236,48850,,,5.0
POI01000000BSTEBH,킴스모텔,,,27290,11;3;6,2.0,4.0
POI01000000BSJN05,우포늪생태공원,126.8828668,37.42432794,48740,3;10;2,2.0,5.0
POI010000006BCBMM,엔게디하우스,128.7616821,37.9702512,42830,5;4;7,2.0,3.6666666666666665
POI01000000BYFXUB,롯데월드,127.0991128,37.50768073,27110,1;3;11,1.0,5.0
POI010000006TOSCN,시티나인빌딩,,,26500,21;7;23,2.0,4.5
POI010000006SGVNS,메가마트,,,31200,3;4;1,2.0,3.6666666666666665
POI010000006CHAZ4,덕성모텔,,,42770,,,4.333333333333333
POI01000000AKZP9N,남부시장,127.1470123,35.81298183,42150,3;2;22,1.0,5.0
POI010000006BE461,단골민박,128.4653615,38.11912518,42210,28;22;21,2.0,4.0
POI01000000B0LVCZ,공주한옥마을공주관풍정,127.1087615,36.46457111,47130,,,3.3333333333333335
POI01000000B59SQ3,쏠비치휴양콘도미니엄,128.6656711,38.08697963,11350,5;6;4,2.0,5.0
POI010000006CGXWN,스타월드모텔,,,42770,2;4;22,2.0,5.0
POI01000000BGH5OX,교동2차현대아파트,,,42150,,,4.666666666666667
POI0100000073FPKU,코오롱관광호텔,129.321952,35.78798964,41173,3;4;23,2.0,1.0
POI0100000077IAXZ,원초안동찜닭,128.7278404,36.5654112,47170,,,4.0
POI01000000B7062M,칠성농산흙내음영농조합법인,,,47820,25;24;27,2.0,3.3333333333333335
POI01000000B8WK72,천주교전동교회,127.1492215,35.8133288,42150,3;2;22,1.0,5.0
POI010000006UDOFC,수정동카센타,129.0416516,35.1238536,26170,,,4.166666666666666
POI010000006WBZV3,의령침례교회,,,48720,2;3;9,2.0,5.0
POI0100000075XK5U,JEET학원,129.1769081,37.4463636,42230,1;6;23,2.0,3.3333333333333335
POI01000000BZBVS4,경주화백컨벤션센터,129.287866,35.838544,47130,3;10;22,3.0,5.0
POI01000000B51OKL,아띠랑스펜션,,,42150,23;6;3,2.0,4.0
POI0100000076CM7E,시연빌딩,,,26230,7;1;6,2.0,3.0
POI0100000073II06,경주농협하나로마트,129.2064884,35.839417,47130,22;10;4,2.0,5.0
POI01000000BZ0BL2,청사포정거장,,,26350,,,5.0
POI010000006GHB6G,창경궁명정전,126.9951999,37.57941654,47130,3;22;9,1.0,3.3333333333333335
POI01000000BZ98VI,동대구역,128.6283938,35.87932399,27140,,,3.3333333333333335
POI0100000096URTP,고양종합터미널,126.7897215,37.6432013,41285,3;22;21,3.0,3.6666666666666665
POI01000000BFS94R,포항역,129.3419282,36.07160518,42170,2;9;22,2.0,3.6666666666666665
POI01000000BYYZLN,해광사,129.2278144,35.20590957,26710,,,3.0
POI01000000BT5CR8,영남이공대학교/전기관,,,27200,4;7;2,3.0,5.0
POI01000000BXQB8D,봉래초등학교문산분교,128.5262915,37.26915664,11500,9;8;28,2.0,5.0
POI0100000075VCS7,EMART2002신축허가137,,,42210,,,4.666666666666667
POI010000006UQ38X,삼덕빌딩,126.8028655,37.55894903,26110,4;22;25,2.0,4.333333333333333
POI01000000BZEM7D,청도신화랑풍류마을,128.9222605,35.71814443,42830,27;28;10,1.0,5.0
