VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2209030002,c_c000947,10,청정게장촌,2022-09-03,2022-09-03,전남 여수시 봉산남4길 23-32,전남 여수시 봉산동 273-36,127.721978,34.73305619,, ,POI010000006YE2FV,청정해수탕,30,11,N,2,,5,5,5,
2211060003,c_c012568,8,유월드루지테마파크,2022-11-06,2022-11-06,전남 여수시 소라면 안심산길 155,전남 여수시 소라면 죽림리 116,127.6414582,34.74791124,,,POI0100000078DRU9,호텔U케슬,90,6,N,5,,5,5,5,
2210300007,c_c009372,7,증평시외버스터미널,2022-10-30,2022-10-30,충북 증평군 증평읍 광장로 89,충북 증평군 증평읍 창동리 23,127.5825291,36.78584808,,,POI010000006AVI2R,증평시외버스터미널,30,9,Y,6,,4,4,4,
2210090001,c_c003071,6,충주박물관,2022-10-09,2022-10-09,충북 충주시 중앙탑면 중앙탑길 112-28,충북 충주시 중앙탑면 탑평리 47-5,127.8654269,37.01616222,,,POI010000009G8FCK,중앙탑공원충주박물관1관,90,2,N,1,,5,5,5,
2209290006,c_c003613,6,다가여행자도서관,2022-09-29,2022-09-29,전북 전주시 완산구 전라감영2길 28,전북 전주시 완산구 다가동1가 24-2,127.1418213,35.81583605,,,,,30,3,N,9,,5,5,5,
2210230003,c_c006402,3,군산시간여행마을,2022-10-23,2022-10-23,경상북도 경주시 계림로 9,전북 군산시 영화동,126.7109377,35.98831919,,,POI01000000BZB8UJ,경주대릉원,60,7,Y,4,,5,5,5,
2210010004,c_c004393,4,개화예술공원,2022-10-01,2022-10-01,,충남 보령시 성주면 개화리 183-1,126.6577646,36.3121449,,,POI010000006BJUXN,개화예술공원,210,1,Y,4,,5,5,5,
2208300001,c_c001411,18,원조고추만두국집,2022-08-30,2022-08-30,충북 청주시 상당구 사직대로350번길 61,충북 청주시 상당구 서문동 80-5,127.4864877,36.63382325,,,,,60,11,N,1,,5,5,5,
2209170003,c_c002463,2,고창고인돌휴게소 서울방향,2022-09-17,2022-09-17,전북 고창군 고창읍 서해안고속도로 80,전북 고창군 신림면 벽송리 598-5,126.6734246,35.46196034,,,,,30,9,Y,11,,5,5,5,
2209240007,c_c002929,7,넘버25호텔,2022-09-24,2022-09-25,산정동3길 12,,,,,,,,210,24,N,8,2,5,5,5,45113
2210270009,c_c007954,8,공산성,2022-10-27,2022-10-27,충남 공주시 웅진로 280,충남 공주시 금성동 65-3,127.1262966,36.46324084,,,POI010000006QK7P8,금서루,60,2,N,1,,4,4,3,
2209050011,c_c001846,11,게스트하우스숨,2022-09-05,2022-09-06,전북 완주군 용진읍 완주로 462-9,전북 완주군 용진읍 운곡리 905-2,127.1587371,35.90649814,,,,,210,24,N,8,7,4,4,4,
2208280006,c_c000744,18,더스토리펜션,2022-08-28,2022-08-28,전북 부안군 진서면 참뽕로 122-8,전북 부안군 진서면 운호리 421-103,126.5239336,35.60703665,,,,,180,24,N,6,3,4,4,4,
2210070003,c_c004513,3,다다회관,2022-10-07,2022-10-07,전남 나주시 건재로 182,전남 나주시 대호동 49-33,126.7210308,35.04973394,,,,,90,11,N,8,,4,4,4,
2210020004,c_c002989,11,호텔메이,2022-10-02,2022-10-03,전북 군산시 부곡4길 18-1,전북 군산시 나운동 852-7,126.6904932,35.96228022,,,POI01000000AL3KM0,호텔MAY,360,24,N,8,1,3,2,2,
2209300001,c_c003864,7,사또가든,2022-09-30,2022-09-30,충북 제천시 봉양읍 제원로 394,충북 제천시 봉양읍 구학리 255-19,128.1097882,37.16032128,,,POI01000000B4NYC8,사포가든,30,11,N,2,,5,5,5,
2210160006,c_c005890,5,황룡강일원둘레길,2022-10-16,2022-10-16,,,,,,,,,30,1,N,1,,5,5,5,46880
2210150003,c_c006086,3,코스트코 세종점,2022-10-15,2022-10-15,세종특별자치시 종합운동장1로 14,세종특별자치시 대평동 584-7,127.2691597,36.46754602,,,,,90,4,N,7,,5,5,5,
2209230005,c_c003060,4,프랭크커핀바 대전점,2022-09-23,2022-09-23,대전 서구 용소로40번길 29,대전 서구 도안동 1990,127.3526874,36.30785553,,,,,60,11,N,2,,5,5,5,
2211040010,c_c012479,17,전주고속버스터미널,2022-11-04,2022-11-04,전북 전주시 덕진구 가리내로 70,전북 전주시 덕진구 금암동 767-9,127.1292206,35.83450993,,,POI01000000B2TLI5,전주고속버스터미널,60,9,Y,6,,5,5,5,
2211040003,c_c013085,4,대천해수욕장,2022-11-04,2022-11-04,충남 보령시 머드로 123,충남 보령시 신흑동 2267-3,126.5134816,36.31023173,,,POI01000000BZZWLM,대천해수욕장,60,1,N,1,,4,4,4,
2210010006,c_c003006,13,라플라타,2022-10-01,2022-10-01,전남 구례군 구례읍 산업로 270,전남 구례군 구례읍 원방리 2-5,127.4653513,35.18576267,,,POI01000000BS68KX,구례휴게소,30,11,N,2,,4,2,3,
2209200005,c_c002864,7,테이크어픽쳐 셀프스튜디오,2022-09-20,2022-09-20,대전 서구 둔산로31번길 51,대전 서구 둔산동 995,127.3772653,36.35406861,,,,,60,4,N,11,,3,3,3,
2210290007,c_c009092,7,대한회센터,2022-10-29,2022-10-29,충남 태안군 안면읍 백사장1길 119,충남 태안군 안면읍 창기리 1269-96,126.3162359,36.58522279,,,,,60,11,N,2,,5,5,5,
2208220001,c_c000467,13,여산휴게소주유소 천안방향,2022-08-22,2022-08-22,전북 익산시 여산면 호남고속도로 192,전북 익산시 여산면 호산리 210-8,127.1046311,36.04972882,, ,POI01000000B0V53A,EX-OIL여산주유소(천안방향),30,9,N,6,,5,5,5,
2211120001,c_c014394,1,숙소,2022-11-12,2022-11-12,,,,,,,,,,24,,,,,,,46830
2209070011,c_c002354,10,짱조아마차,2022-09-07,2022-09-07,전남 여수시 박람회길 36,전남 여수시 덕충동 2042-2,127.7439938,34.75246955,,,POI01000000EIADKZ,4차원균형다이어트요가,90,11,N,2,,2,1,1,
2210300007,c_c011905,6,수수하지만굉장해,2022-10-30,2022-10-30,광주 남구 백서로 76,광주 남구 양림동 66-38,126.9160263,35.13925394,,,POI01000000EFYMOX,아크레타양림,60,11,N,2,,5,5,4,
2211050002,c_c012890,4,집,2022-11-05,2022-11-06,,,,,,,,,270,21,,,,,,,41220
2210040003,c_c003600,9,낙안읍성민속마을,2022-10-04,2022-10-04,전남 순천시 낙안면 충민길 30,전남 순천시 낙안면 남내리 438-1,127.3398757,34.90741636,,,POI01000000BS837H,옥사지,30,7,N,1,,5,4,4,
2209200004,c_c002378,16,친구집,2022-09-20,2022-09-21,,,,,,,,,450,22,,,,,,,30110
2210020003,c_c003338,3,헤이그라운드,2022-10-02,2022-10-02,모악로460-20,,127.0187764,37.27846827,,,POI01000000BZVB5H,모악산유스호스텔,180,11,N,2,,5,5,5,45210
