TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g011990,G06,g011990,1;28;3,2023-09-06,2023-09-07,자가용,충청권 방문/충청권 외 거주/39세 이하/부모 동반/일반미션,1;28;3,6;3;22
g_g011996,G03,g011996,2;22;26,2023-09-10,2023-09-11,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,2;22;26,2;22;26
g_g011999,G06,g011999,2;22;26;4;6,2023-09-09,2023-09-10,대중교통 등,충남 방문/거주지 구분 없음/39세 이하/특별미션,2;22;26;4;6,11;6;2
g_g012152,G07,g012152,2;4,2023-09-10,2023-09-11,,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,2;4,2;4;24
g_g012153,G07,g012153,2;21;24;4,2023-09-09,2023-09-10,,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,2;21;24;4,2;11;21
g_g012155,G02,g012155,2;22;24;4,2023-09-09,2023-09-10,,전북 방문/거주지 구분 없음/39세 이하/특별미션,2;22;24;4,2;24;22
g_g012157,G03,g012157,1;3;6,2023-09-08,2023-09-09,,전라권 방문/호남권 거주/39세 이하/나홀로 여행/일반미션,1;3;6,3;4;6
g_g012159,G06,g012159,13;2;3,2023-09-09,2023-09-10,,충청권 방문/충청권 외 거주/40세 이상/커플/일반미션,13;2;3,3;6;22
g_g012160,G03,g012160,21;6,2023-09-16,2023-09-17,,전라권 방문/호남권 거주/40세 이상/부부/일반미션,21;6,1;25;21
g_g012161,G06,g012161,22;4;9,2023-09-09,2023-09-10,,충남 방문/거주지 구분 없음/39세 이하/특별미션,22;4;9,1;4;6
g_g012162,G04,g012162,26;4,2023-09-17,2023-09-18,,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,26;4,1;26;4
g_g012164,G06,g012164,22;24;4;6;9,2023-09-07,2023-09-08,,충남 방문/거주지 구분 없음/39세 이하/특별미션,22;24;4;6;9,26;4;23
g_g012171,G06,g012171,4;9,2023-09-16,2023-09-17,,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,4;9,9;4;11
g_g012173,G05,g012173,21;2,2023-09-11,2023-09-12,,충청권 방문/충청권 거주/40세 이상/커플/일반미션,21;2,21;24;22
