VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2210160004,b_b007963,3,오유미당 영도점,2022-10-16,2022-10-16,부산 영도구 태종로65번길 12,부산 영도구 대교동1가 179-7,129.0387172,35.09315794,,,,,60,11,N,2,,5,4,4,
2210250002,b_b011527,2,불국사 다보탑,2022-10-25,2022-10-25,경북 경주시 불국로 385,경북 경주시 진현동 15-1,129.3322396,35.78999075,,,POI01000000BWMXWI,신라교,120,2,Y,10,,5,4,4,
2209250005,b_b003906,25,가야밀면우동,2022-09-25,2022-09-25,부산 해운대구 우동1로20번길 74,부산 해운대구 우동 552-2,129.1604727,35.16545819,,,POI010000006T9HH2,우일상설시장,30,11,N,9,,5,5,5,
2208230002,b_b002201,2,양평휴게소 원주방향,2022-08-23,2022-08-23,경기 양평군 양동면 송석2길 52,경기 양평군 양동면 단석리 506-7,127.7265592,37.39573225,,,,,60,9,N,9,,3,3,3,
2211030002,b_b016361,2,남이섬,2022-11-03,2022-11-03,강원 춘천시 남산면 남이섬길 1,강원 춘천시 남산면 방하리 197,127.5252101,37.79144075,,,POI01000000B5C9SP,남이섬관광휴양지,60,1,N,1,,4,4,4,
2210280002,b_b014236,2,부산서부버스터미널,2022-10-28,2022-10-28,부산 사상구 사상로 201,부산 사상구 괘법동 533-6,128.9825254,35.16323947,,,POI01000000EHBWRP,서부버스터미널,30,9,Y,6,,5,5,5,
2208210001,b_b002062,12,남애리,2022-08-21,2022-08-21,,,128.779084,37.938207,,,,,30,1,N,9,,4,4,3,42830
2208150001,b_b000465,9,해녀박물관,2022-08-15,2022-08-15,제주특별자치도 제주시 구좌읍 해녀박물관길 26,제주특별자치도 제주시 구좌읍 상도리 3204-1,126.8634299,33.52357842,,,,,30,2,N,2,,3,3,4,
2208200005,b_b001370,9,어반스테이 서면,2022-08-20,2022-08-21,부산 부산진구 중앙대로 752,부산 부산진구 부전동 129-1,129.0607901,35.15938082,,,,,120,24,Y,4,1,4,4,4,
2208300001,b_b002957,1,친구/친지집,2022-08-30,2022-08-30,,,,,,,,,,22,,,,,,,26290
2210290001,b_b012431,6,맘모스베이커리,2022-10-29,2022-10-29,경북 안동시 문화광장길 34,경북 안동시 남부동 164-1,128.7309765,36.56463826,,,,,30,11,N,1,,5,4,4,
2210280005,b_b014682,4,마루막창 수성점,2022-10-28,2022-10-28,대구 수성구 수성못2길 5,대구 수성구 두산동 684,128.6224137,35.82561399,,,,,90,11,N,1,,4,4,4,
2210300004,b_b008462,5,민둥산,2022-10-30,2022-10-30,,강원 정선군 남면 무릉리,128.7748572,37.27106606,,,,,300,1,N,1,,5,5,5,
2210230005,b_b007935,6,집,2022-10-23,2022-10-24,,,,,,3114010600,,,600,21,,,,,,,
