TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
f_f003269,H02,f003269,3;22,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/나홀로 여행/일반미션",3;22,3;11;22
f_f003328,H02,f003328,1;2;4;6;9,2023-06-10,2023-06-11,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;4;6;9,2;4;6
f_f003341,H02,f003341,28,2023-06-11,2023-06-12,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",28,28;9;2
f_f003346,H02,f003346,1;2;5;4;28;27;26;25;24;23;22;21,2023-06-24,2023-06-25,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;5;4;28;27;26;25;24;23;22;21,26;22;1
f_f003358,H02,f003358,1;6;9,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/커플/일반미션",1;6;9,1;6;21
f_f003378,H02,f003378,22;26;4,2023-06-17,2023-06-18,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;26;4,22;4;26
f_f003388,H02,f003388,1;2;6,2023-06-14,2023-06-15,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",1;2;6,2;6;11
f_f003391,H02,f003391,1;26,2023-06-24,2023-06-25,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;26,26;1;4
f_f003392,H02,f003392,21;22,2023-06-20,2023-06-21,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",21;22,1;21;22
f_f003394,H02,f003394,22;24;3;6;9,2023-06-18,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",22;24;3;6;9,9;6;11
f_f003397,H02,f003397,3,2023-06-16,2023-06-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",3,3;13;22
f_f003404,H02,f003404,1;2;22;27,2023-06-15,2023-06-16,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",1;2;22;27,6;1;4
f_f003425,H02,f003425,21;22;24;26;27,2023-06-18,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",21;22;24;26;27,24;6;26
f_f003429,H02,f003429,3,2023-06-17,2023-06-18,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",3,6;7;3
f_f003430,H02,f003430,2;21;22;24;6,2023-06-18,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",2;21;22;24;6,12;22;2
f_f003458,H02,f003458,21;22;24;26,2023-06-18,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;24;26,5;21;22
f_f003481,H02,f003481,28,2023-06-24,2023-06-25,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",28,28;9;24
f_f003487,H02,f003487,22;8,2023-06-23,2023-06-24,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",22;8,22;8;24
f_f003510,H02,f003510,22;3;26,2023-06-18,2023-06-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",22;3;26,3;22;26
f_f003520,H02,f003520,6,2023-07-01,2023-07-02,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/3인 이상 친구/일반미션",6,4;6;12
f_f003536,H02,f003536,1;5;7;22;26,2023-06-29,2023-06-30,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;5;7;22;26,2;7;22
f_f003551,H02,f003551,21;22;24;26;4,2023-06-21,2023-06-22,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",21;22;24;26;4,26;22;24
f_f003625,H02,f003625,2;22;4;6,2023-06-24,2023-06-25,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/나홀로 여행/일반미션",2;22;4;6,6;24;4
f_f003630,H02,f003630,21;22;23;26;27,2023-06-24,2023-06-25,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",21;22;23;26;27,21;27;22
