TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e007693,E01,e007693,22;26;6,2023-08-23,2023-08-24,대중교통 등,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,22;26;6,6;22;1
e_e007704,E03,e007704,1;12;22;3;4,2023-08-25,2023-08-26,대중교통 등,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;12;22;3;4,1;3;22
e_e007705,E02,e007705,1;21;22;4;6,2023-08-26,2023-08-27,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;21;22;4;6,6;4;21
e_e007708,E03,e007708,1;22;26,2023-08-21,2023-08-22,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,1;22;26,11;26;22
e_e007743,E03,e007743,22;5,2023-08-20,2023-08-21,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,22;5,5;22;2
e_e007745,E03,e007745,2;22,2023-08-27,2023-08-28,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,2;22,2;22;24
e_e007746,E01,e007746,1;2;22;24,2023-08-19,2023-08-20,자가용,서울 방문/수도권 외 거주/39세 이하/커플/일반미션,1;2;22;24,6;22;1
e_e007748,E01,e007748,2;3,2023-08-19,2023-08-20,,서울 방문/수도권 거주/39세 이하/커플/일반미션,2;3,3;4;12
e_e007749,E03,e007749,21;22;24;26;6,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,21;22;24;26;6,6;22;24
e_e007752,E01,e007752,2;26;3,2023-08-19,2023-08-20,,서울 방문/수도권 거주/39세 이하/3인 이상 친구/일반미션,2;26;3,2;1;22
e_e007753,E03,e007753,2;5;6;8;9;27;4,2023-08-26,2023-08-27,,서울 외 수도권 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;5;6;8;9;27;4,2;1;6
e_e007756,E03,e007756,21;5;6,2023-08-27,2023-08-28,,서울 외 수도권 방문/수도권 거주/40세 이상/부부/일반미션,21;5;6,5;21;27
e_e007757,E01,e007757,1;12;22;3;6,2023-08-22,2023-08-23,,서울 방문/수도권 거주/39세 이하/나홀로 여행/일반미션,1;12;22;3;6,6;3;12
